codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;aumentototal;aumento-primaria;aumentosecundaria;aumento-terciaria
171800;171800 PORTO ALEGRE DO TOCANTINS;5;4;0;1;6;4;2;0;20%;0%;0%;-100%
171820;171820 PORTO NACIONAL;82;45;31;6;124;79;39;6;51%;76%;26%;0%
171830;171830 PRAIA NORTE;9;8;0;1;9;8;0;1;0%;0%;100%;0%
171840;171840 PRESIDENTE KENNEDY;4;3;0;1;4;3;0;1;0%;0%;100%;0%
171845;171845 PUGMIL;3;2;0;1;5;3;1;1;67%;50%;100%;0%
171850;171850 RECURSOLANDIA;3;3;0;0;3;3;0;0;0%;0%;0%;0%
171855;171855 RIACHINHO;4;3;0;1;5;4;0;1;25%;33%;100%;0%
171865;171865 RIO DA CONCEICAO;4;3;0;1;4;3;0;1;0%;0%;100%;0%
171870;171870 RIO DOS BOIS;2;2;0;0;4;3;0;1;100%;50%;100%;100%
171875;171875 RIO SONO;6;5;0;1;9;7;1;1;50%;40%;100%;0%
171880;171880 SAMPAIO;4;3;0;1;5;4;0;1;25%;33%;100%;0%
171884;171884 SANDOLANDIA;3;3;0;0;4;3;0;1;33%;0%;100%;100%
171886;171886 SANTA FE DO ARAGUAIA;7;6;0;1;8;7;0;1;14%;17%;100%;0%
171888;171888 SANTA MARIA DO TOCANTINS;3;2;0;1;3;2;0;1;0%;0%;100%;0%
171889;171889 SANTA RITA DO TOCANTINS;4;3;0;1;4;3;0;1;0%;0%;100%;0%
171890;171890 SANTA ROSA DO TOCANTINS;6;5;0;1;9;6;2;1;50%;20%;100%;0%
171900;171900 SANTA TEREZA DO TOCANTINS;3;2;0;1;4;3;0;1;33%;50%;100%;0%
172000;172000 SANTA TEREZINHA DO TOCANTINS;5;3;1;1;6;4;1;1;20%;33%;0%;0%
172010;172010 SAO BENTO DO TOCANTINS;6;5;0;1;8;7;0;1;33%;40%;100%;0%
